CustomerID,FirstName,LastName,DateOfBirth,Address,PhoneNumber,City
69,Jordan,Pratt,1957-07-02,"93395 Fowler Unions
Zacharyburgh, VI 08429",443-100-6051,Liverpool
70,Kayla,Alexander,2013-07-28,"715 Cathy Spurs
Danielborough, WY 47573",491-668-4002,Manchester
71,Randy,Nguyen,1941-04-29,"755 Steve Cliff Apt. 615
Edwardstad, KS 03160",583-781-0699,Portsmouth
72,Christine,Ford,2019-02-24,"75427 Angelica Mission
Lake Claudia, MA 83012",396-814-2960,Cambridge
73,David,Franco,1938-11-07,"Unit 7126 Box 7504
DPO AP 18481",953-916-2648,Cambridge
74,Anthony,Scott,1934-09-23,"948 Garcia Crossroad
Franklinstad, NJ 41753",375-913-1592,Liverpool
75,Mary,Williams,1920-07-07,"USS Mata
FPO AP 48974",685-120-0290,Cambridge
76,Richard,Maldonado,1972-10-24,"480 Phillips Rue Apt. 547
West Catherine, OR 20187",113-820-7731,Birmingham
77,Karen,Cortez,1973-08-10,"Unit 7492 Box 5693
DPO AP 30013",710-736-7494,Leeds
78,Stanley,Wilson,1951-06-08,"7657 Barr Canyon
Port Michealport, NC 25247",903-549-9255,Liverpool
79,John,Rogers,2020-11-06,"298 Jimenez Neck Apt. 117
West Ericaburgh, WA 73116",926-953-1528,London
80,Sarah,Schmidt,1954-07-16,"406 Lopez Neck
Greenmouth, PW 77833",828-447-7719,Manchester
81,Robert,Norris,1909-06-30,"618 John Lakes
Lake Janetberg, NE 07498",477-893-3382,Liverpool
82,Angela,Combs,1958-05-02,"531 Cline Crest
Hessside, KY 50073",270-894-4677,London
83,Brian,Thompson,1966-10-03,"80489 Michele Island
Harveyland, AS 36910",864-340-1660,Cambridge
84,Robin,Alexander,1924-01-25,"19418 Hurst Branch Apt. 608
New Christopher, MS 60328",745-596-7819,Cambridge
85,Tara,Cook,1952-11-25,"642 Adams Rue Suite 995
Lake Thomas, SC 24612",743-340-7087,Portsmouth
86,Bethany,Williams,1934-03-08,"PSC 5986, Box 2676
APO AE 49694",906-928-2445,Leeds
87,Stephen,Baker,1917-03-06,"Unit 5368 Box 5590
DPO AA 43236",191-500-8416,Liverpool
88,Erika,Holmes,1934-08-11,"446 Weiss Plains
North Richardmouth, IN 46039",413-943-6239,London
89,Betty,Cooley,2009-08-30,"2684 Ronald Glen
Juliaberg, IA 90725",380-767-8252,London
90,Mario,Gonzalez,1941-02-07,"PSC 9562, Box 4199
APO AP 19031",500-106-1993,Cambridge
91,Patrick,Jackson,1976-11-23,"Unit 3248 Box 0768
DPO AA 43377",595-196-6073,Liverpool
92,Robert,Roberts,1976-10-21,"947 Morris Heights
Collierberg, WY 11124",708-944-9820,Portsmouth
93,Jennifer,Johnson,1916-01-15,"Unit 2728 Box 3265
DPO AP 19192",266-412-5190,Liverpool
94,Nicole,Oliver,1916-12-20,"7643 Newton Viaduct Apt. 938
New Desiree, NC 96046",485-398-3550,Portsmouth
95,Hannah,Miller,1958-03-09,"9958 Carr Valleys
Erikaview, AR 47527",266-566-5283,Birmingham
96,Danny,Liu,2005-12-12,"8373 Austin Shore
West Chase, VI 37143",518-800-4670,Liverpool
97,Catherine,Sullivan,1910-02-24,"161 Reynolds Summit
Wareton, FM 28224",384-146-8059,Manchester
98,Dennis,Villarreal,2002-06-14,"340 Amber Common
North Rachael, IA 25460",902-293-3031,London
99,Mary,Arnold,1931-07-06,"35601 Rich Road Suite 106
Kennethshire, NE 61130",608-609-0112,Leeds
100,Brandon,Miller,1968-11-10,"8937 Gutierrez Prairie
Lake Anthony, MA 14391",917-363-3556,London
